title,company,date,location,categories,viewers,text
OLX Estafa de compra de celular,OLX,2020-12-01,"Surco,Lima","Medios de comunicación,Sitios Web y Correo Electrónico",273," Bueno mi caso es el siguiente, hace semanas me hurtaron un celular por lo que necesitaba con urgencia un celular bueno mientras teniia en mano un nokia asha solo para llamadas. Contacté con una persona para la compra de un celular HUAWEI, la publicación la hizo de Camaná, yo soy de la misma ciudad Arequipa, y me dijo que coordinemos para que me de mas información del celular, por lo que seguimos hablando y me envió foto de su DNI tal y como la muestro diciendo que era para la seguridad de ambos. Me dijo que primero le hiciera un giro de la mitad del precio del celular y cuando me enviiaara por olva courier y yo lo recogiera pues le hiciera el giro de la otra mitad. Una vez que le hice el giro de la primera mitad, se comunicó dizque con su hermana para el enviio a mi persona y me envioo capturas de ello diciendo que antes habiian tenido problemas que después no terminaban de completar el pago y eso, pues dijo que hiciera el giro completo para el envío y poco pues me confirmo que ya habia enviado el paquete. Cuando me pidieron mi dni en olva pues me dijeron que no figuraba a mi nombre ningún envío ese mismo día por lo que de un teléfono publico llame al caballero y no contestó defrente me mandaba a la casilla de voz, entre a una internet para contactarme por OLX y nada no recibía respuesta. Hasta ahora lee mis mensajes por medio de OLX y no responde. Tengo los voucher del giro que hice por BCP. Tengan cuidado por favor. Hoy entree por otra cuenta de OLX y vii el anuncio otra vez huawei p20 lite negro. busquee en internet y figura que fué miembro de mesa. por favor si saben de esta persona u otro caso comenten"
MobAppCreator da una mala atención al cliente,MobAppCreator,2019-10-31,"Lima,Lima","Servicios,Desarrollo Web, Hospedaje y Dominios",270," La empresa MobAppCreator nunca responde los mensajes y, cuando lo hacen, no te responden debidamente. Los he tratado con respeto, pero al ver que no respondían, insistí en enviarles mensajes y, cuando finalmente me respondieron, a los segundos me bloquearon. Cabe mencionar que nunca les he faltado el respeto y ellos tampoco lo hicieron, pero me parece absurdo que te bloqueen solo por no querer responder a tus dudas. Esto deja una mala imagen de la empresa. Y agradezco que haya ocurrido esto, ya que estuve cerca de contratar sus servicios. A mi consideración, esta empresa merece una estrella de 5. Muy poco profesionalismo es el que encontrarás en dicha empresa."
Urbania engaña a sus clientes que publican avisos,Urbania,2019-10-14,"Lima,Lima","Medios de comunicación,Editoriales, Impresos y Periódicos",547," Esto mismo me pasa a mí y hoy lo veo en este portal: Link Urbania se burla de sus anunciantes con servicio pésimo Nos llegan diversos correos sobre el malestar que padecen los anunciantes del portal inmobiliario Urbania, del Grupo El Comercio, y hemos comprobado que es verdad todo lo que dicen. Bad getawayeval(ez_write_tag([[300,250],'apestan_com-medrectangle-4','ezslot_1',124,'0','0'])); Falla recurrente de Urbania, esto sale en pantalla en lugar de la página de usuario anunciante Señalan que en lo que más se ha preocupado este portal es en subir los precios de los anuncios por internet, pero el alza no va a la par con la calidad del servicio. Este problema no es muy notorio para el público que usa esta página para buscar propiedades, sino para todos aquellos que tienen que ingresar para publicar o editar un aviso. En su afán de maximizar sus ganancias y reducir costos, Urbania no se ha preocupado por contratar un servicio de internet que sea capaz de soportar la carga de usuarios, muchos de los cuales trabajan simultáneamente en las horas de mayor demanda. Tan mal está el servicio, que a ciertas horas no se puede ingresar. Para comprobarlo, nos dieron clave y usuario y a ciertas horas, por ejemplo entre 11 y 12 del día, no se puede ingresar a editar o publicar, o si se ingresa el sistema se cuelga y sale el mensaje “502 Bad Gateway”. Hemos intentado una y otra vez en días diferentes de la semana y sale lo mismo. La prueba se realizó en browsers distintos, como Chrome, Opera, Maxthon, etc. También dicen ""borre sus cookies"""" o ""cierre sesión y vuelva a ingresar"", pero haciéndolo las fallas continúan. El problema no son los browsers, sino el portal de Urbania. De igual manera, se reportan otras fallas y el sistema se cae por completo a cualquier hora. Cuando se contrata estos avisos hay diversos precios según la prioridad que se les dé y “premium” es lo más caro, sigue “destacado” y después “simple”. El malestar de los usuarios es terrible porque pese a que pagan “premium” incluso a veces los avisos no están disponibles o están disponibles sin que carguen las fotos. Muchas veces el anunciante cree que publicó pues su pantalla le muestra avisos publicados, pero ingresando como público, los avisos no se ven. Estos problemas tienen unos tres años y se advierte, por sus características, que además de contratar un servicio de internet pobre, han contratado a una empresa o “profesional” encargado del portal, cuyo trabajo es de quinta categoría, porque un profesional que se respete prueba todas las utilidades antes de entregar su producto, pero en Urbania hay muchas utilidades que fallan o fallaban y los clientes son usados como conejillos de indias para reportar cuáles son las fallas. Lo peor de todo es que pese a reportarlo las fallas continúan. Problema de costos Para ahorrar, Urbania incluso ya no tiene atención de servicio técnico por teléfono, que antes tenía de lunes a viernes en horario de oficina. Lo hemos comprobado y sólo dan un teléfono para ventas, es decir, sólo se preocupan por traer más anunciantes para este mal servicio y no en mejorarlo. Hemos llamado para comprobar su versión y nadie da razón. En otras webs que respetan a sus clientes hay servicio técnico 24 horas, pero en Urbania nada. En lugar de la persona que atienda, ahora sólo atienden por correo electrónico, y las respuestas pueden tardar días.eval(ez_write_tag([[468,60],'apestan_com-medrectangle-3','ezslot_16',172,'0','0'])); Como si eso fuese poco, el Grupo El Comercio no recibe quejas, pues hemos intentado contactar por teléfono con algún personal de jerarquía superior a los responsables de Urbania, pero se niegan a dar los nombres y anexos respectivos. Burla o estafa Urbania incurre en constantes burlas a sus anunciantes aprovechando de su posición de página inmobiliaria más leída, pues a todas las quejas responden por correo que “hemos revisado y no hay problemas” y otras respuestas similares. Para mayor burla, incluso exigen enviar captura de pantalla del problema, pero aún así, siguen negando las fallas escandalosas. Con razón Hildebrandt en sus trece informó hace unos meses que el Grupo El Comercio presenta pérdidas, pues con un personal así, de última categoría, lo único que hacen es perder clientes, que a la larga serán captados por la competencia."
Coolbox apestan,Coolbox,2019-05-10,"Cusco,Cusco","Tiendas y Comercio,Electrónica Cómputo Juegos",541," Compre on line un tensiometro, que fue cobrado de mi tarjeta de crédito el día 25 de setiembre 2019,para entregar el 26 en su local de Real Plaza Cusco, fui el día señalado y no había la orden, llamé a su servicio al cliente (no sirve para nada) como 8 veces hasta hoy 5 de octubre, hablé con un Sr. C. y otro M., este último no le soluciona nada a nadie, pero aún no me atienden, luego de 10 días de haber adquirido el producto no le recomiendo a nadie comprar a esa empresa, no es seria."
Royal Holiday vacation clubs apestan,Royal Holiday,2019-09-19,"San Miguel,Lima","Hotelería y alojamiento,Tiempos Compartidos",1203," En el Hotel Royal Park, prácticamente nos obligaron a firmar una compra de membresía de Royal Holiday, y hace días desde el 4 de set. Vengo tratando de cancelar dicha membresía y no me hacen caso y no responden pido ayuda por favor quién pueda apoyarme comunicarse al 9565099xx estoy enferma con todo esto nadie me hace caso por favor ya les llame pero sus teléfonos nunca contestan por favor pasan los días y estoy mas desesperada ayudenme."
"King Eventos y Catering, pésimo servicio, comida con sabor rancio, lento, impuntuales",King Eventos y Catering,2019-08-09,"Lima,Lima","Servicios,Bodas, Eventos y Servicios relacionados",5509," Quiero reportar a la empresa King Eventos y Catering por el pésimo servicio que me dieron la noche de ayer. El pasado martes 27 de agosto contraté los servicios de esta empresa administrada por el señor A. quien se identificó con el número de RUC 104030176xx. La verdad había tenido buenas referencias de esta persona. Pero lamentablemente resultó un fiasco. Contraté el servicio de buffet y bocaditos para la fiesta de quince años de mi hermana menor. Faltando dos semanas para el evento, considero un tiempo prudente para que todo esté listo para la ocasión. Había coordinado con el señor de King Eventos y Catering, a través de whats app, que me llevaría parte de la preparación un día antes y el resto el mismo día. Al final se excusó con que había tenido problemas y que no había podido llegar a tiempo. Todos tenemos contratiempos, eso lo puedo entender. Sin embargo me parece exagerado que haya llevado la preparación recién el mismo día del evento faltando media hora para que empiece la ceremonia. Pero eso no es todo. El sabor de la comida era pésimo. Sabía a rancio, pasado, diría hasta a malogrado. Esto se lo reclamé al responsable a lo que me respondió que ya había cumplido con el pedido. Previamente, el día que hicimos el acuerdo, le había adelantado la mitad del pago total y no quiso irse hasta que le cancele el total. No me quedó más alternativa que pagarle pues los invitados ya estaban llegando y no quería arruinar esta fecha tan especial para mi hermana. eval(ez_write_tag([[300,250],'apestan_com-medrectangle-4','ezslot_3',124,'0','0'])); Al final tuve que improvisar una comida, comprar tortas y pasteles de una panaderia cercana pues los alimentos que había adquirido no se los podría dar ni a un animal. Como señalé líneas antes, el sabor era desagradable y hasta podría haber atentado contra la salud de los asistentes. Mañana lunes empezaré un proceso legal contra King Eventos y Catering por daños y perjuicios. Sin embargo, el daño que hicieron contra mi, mi hermana y mi familia ya está realizado. No recomiendo para nada contraten a King Eventos y Catering empresa que se publicita como la propiedad de un joven emprendedor el cual es en realidad una persona irresponsable y sin ninguna moral o ética. Se publicitan con esta información: Página web: kingeventosycatering.com Número móvil: 981-472-4xx"
Aeroméxico retraso en entrega de maleta,Aeroméxico,2019-08-31," Rimac,Lima","Transporte,Aereolíneas",470," Viajé de Lima Perú con destino a París Francia y con escala en México DF, vía Aeroméxico el día 22 de agosto 2019. Resulta que mi maleta se quedó en el aeropuerto de México. Registré mi reclamo el dia 23 de agosto en el aeropuerto de París fecha de llegada, los encargados de la aerolínea me dieron las disculpas del caso y me indicaron que mi maleta me lo iban a entregar personalmente en el hotel que me encontrara. Consigne los hoteles y fechas de París y Madrid que me iba a quedar. Resulta que el día 28 de agosto, fecha en que yo me encuentro en Barcelona. el servicio de entrega dejó mi maleta a la fuerza a la encargada del hotel Lido de Madrid, aduciendo que ellos sólo cumplían con dejar la maleta en el domicilio consignado. Estoy haciendo coordinaciones con los encargados de Aeroméxico pero hasta el momento no encuentro solución, evadiendo responsabilidades. Aparte de causarme un perjuicio de dejarme prácticamente sin ropa ahora debo de estar rogando para que me den una solución. Lo único que pido es que recuperen mi maleta y me lo devuelvan a Lima Perú (a mi dirección consignada) ya que estoy movilizandome por Europa cumpliendo mi itinerario de viaje y evitar los cruces. Saludos."
ARCE apestan,ARCE,2019-08-19,"Arequipa,Arequipa","Trabajos,Otro",508," ARCE esta empresa constantemente se aprovecha de la ignorancia de los trabajadores y por ello abusa no cumple las leyes de seguridad, de horas extras, paga solo una parte del salario en planilla, para evitar pagar los aguinaldos. la administración de ARCE es familiar y son déspotas y falsifican varios documentos para ganar licitaciones, sus malas practicas han resultado en accidentes fatales y varios accidentes que no se reportan al ministerio de trabajo. ARCE son un asco"
EOBS European Open Business School apestan,EOBS,2019-07-25,"Lima,Lima","Educación y Formación,Colegios, Escuelas y Academias",700," Mi experiencia con EOBS ha sido un piñazo, pague 2100+ 575 e por una reserva para estancia internacional para un master de Alta direccion de empresas, todo problemas con EOBS , mala calidad del material, malos contenidos y los videos que hacian ellos mismos, a titulo propio hasta que intente cancelar una reserva de la estancia internacional y me bloquearon el aceso al master y me llamaban a mi celular hasta que pagara la siguiente couta. Estuve semanas escribiendo, llamando, y me pasaban de un departamento a otro, EOBS son lo peor. mafia europea ! Timo! Una vez que pagas olvidate no obtendras respuesta y perderas el tiempo y el dinero!Me costo ponerme enferma : ("
Estafa de Biotrim Labs,Biotrim Labs,2019-09-07,"La Victoria,Lima","Salud,Laboratorios",605," Soy peruana. Primero Biotrim Labs me estafaron en la cantidad con la publicidad engañosa. Compré un frasco de Brain plus iq, pero me cobraron por 5 frascos!!!. Biotrim_Labs Como compañía internacional, ésta debió saber que una persona natural de Perú no puede importar más de 3 frascos. El tiempo que me dio Aduanas de mi país, que retuvo mi orden, hasta que realice todos los trámites correspondientes y pagar tasas altas por esos trámites, que pagan grandes compañías importadoras, se me pasó el tiempo de 30 días, que el fue el plazo que me concedió. Como el trámmite en mi país es engorroso, se cumplió el plazo y Adunas procedió a devolver el lote de productos a su país de origen. He pedido el reembolso de la totalidad de mi dinero, pero Biotrim Labs se niega a hacerlo, aduciendo que el banco ya reembolsó. Al no tener una respuesta positiva de Biotrim Labs, denuncié ante el banco como transacción fraudulenta. Biotrim_Labs El banco me hizo un depósito temporal de 175.21 dolares que fue el monto que pagué hasta que concluir las investigaciones. Al descrubrir que la transacción fue legal, el banco procedió a recuperar ese monto, recomendándome que realice el reclamo a la empresa, Biotrim Labs la que realice el desembolso. A pesar de que presentado pruebas, Biotrim Labs se niega a reembolsarme. Yo no les robo nada a la empresa ni a nadie, pero ésta sí me roba mi dinero."
